date,product_id,warehouse_id,region,supplier_id,sales,stock_level,lead_time_days,reorder_point,promotion,holiday,is_weekend,unit_price,ordering_cost,holding_cost
2022-01-01,P001,WH001,North,S001,125,1267,7,1008,0,1,1,25.92,45.58,0.5
2022-01-01,P001,WH002,South,S001,138,846,8,921,0,1,1,25.83,54.7,0.5
2022-01-01,P001,WH003,East,S001,162,1564,5,864,0,1,1,25.06,48.04,0.5
2022-01-01,P002,WH001,North,S001,76,1284,5,480,0,1,1,44.06,46.39,0.9
2022-01-01,P002,WH002,South,S001,70,1158,2,153,0,1,1,45.06,47.0,0.9
2022-01-01,P002,WH003,East,S001,108,1531,7,806,0,1,1,43.04,46.71,0.9
2022-01-01,P003,WH001,North,S002,224,1967,8,1920,0,1,1,11.93,51.84,0.5
2022-01-01,P003,WH002,South,S002,193,1448,4,768,0,1,1,11.71,54.09,0.5
2022-01-01,P003,WH003,East,S002,246,3583,9,2592,0,1,1,11.62,50.47,0.5
2022-01-01,P004,WH001,North,S002,79,580,7,504,0,1,1,76.36,46.96,1.6
2022-01-01,P004,WH002,South,S002,51,572,3,172,0,1,1,78.85,53.29,1.6
2022-01-01,P004,WH003,East,S002,90,742,3,259,0,1,1,76.6,53.02,1.6
2022-01-01,P005,WH001,North,S003,194,2604,8,1440,0,1,1,17.23,52.71,0.5
2022-01-01,P005,WH002,South,S003,130,2283,6,864,0,1,1,17.7,51.23,0.5
2022-01-01,P005,WH003,East,S003,213,2258,6,1296,0,1,1,18.25,52.3,0.5
2022-01-01,P006,WH001,North,S003,107,907,9,972,0,1,1,35.91,52.13,0.7
2022-01-01,P006,WH002,South,S003,102,1044,7,604,0,1,1,34.75,50.23,0.7
2022-01-01,P006,WH003,East,S003,132,1339,6,777,0,1,1,36.43,50.09,0.7
2022-01-01,P007,WH001,North,S004,203,3191,4,864,0,1,1,21.07,47.29,0.5
2022-01-01,P007,WH002,South,S004,157,2855,5,864,0,1,1,22.29,53.08,0.5
2022-01-01,P007,WH003,East,S004,269,2346,7,1814,0,1,1,22.09,53.93,0.5
2022-01-01,P008,WH001,North,S004,49,513,6,324,0,1,1,98.02,49.27,1.9
2022-01-01,P008,WH002,South,S004,29,411,7,302,0,1,1,93.46,46.2,1.9
2022-01-01,P008,WH003,East,S004,64,802,7,453,0,1,1,93.7,52.03,1.9
2022-01-01,P009,WH001,North,S005,132,1347,3,396,0,1,1,26.7,47.85,0.56
2022-01-01,P009,WH002,South,S005,107,814,11,1161,0,1,1,29.14,47.79,0.56
2022-01-01,P009,WH003,East,S005,148,1918,6,950,0,1,1,27.28,54.86,0.56
2022-01-01,P010,WH001,North,S005,103,857,8,720,0,1,1,54.27,52.28,1.1
2022-01-01,P010,WH002,South,S005,84,900,9,648,0,1,1,56.84,45.9,1.1
2022-01-01,P010,WH003,East,S005,95,825,5,540,0,1,1,55.98,50.91,1.1
2022-01-02,P001,WH001,North,S001,153,1963,7,1008,1,1,1,25.48,46.74,0.5
2022-01-02,P001,WH002,South,S001,162,973,6,691,1,1,1,24.03,48.41,0.5
2022-01-02,P001,WH003,East,S001,249,2633,4,691,1,1,1,25.07,50.55,0.5
2022-01-02,P002,WH001,North,S001,121,1545,6,576,1,1,1,45.6,54.0,0.9
2022-01-02,P002,WH002,South,S001,85,1108,4,307,1,1,1,46.74,53.97,0.9
2022-01-02,P002,WH003,East,S001,162,912,9,1036,1,1,1,46.79,46.62,0.9
2022-01-02,P003,WH001,North,S002,326,1714,5,1200,1,1,1,12.06,46.61,0.5
2022-01-02,P003,WH002,South,S002,283,1785,9,1728,1,1,1,11.68,52.12,0.5
2022-01-02,P003,WH003,East,S002,430,3901,5,1440,1,1,1,12.19,53.49,0.5
2022-01-02,P004,WH001,North,S002,84,779,7,504,1,1,1,77.95,47.65,1.6
2022-01-02,P004,WH002,South,S002,74,923,7,403,1,1,1,82.36,51.31,1.6
2022-01-02,P004,WH003,East,S002,150,1028,7,604,1,1,1,81.78,46.95,1.6
2022-01-02,P005,WH001,North,S003,206,2981,7,1260,1,1,1,18.75,54.54,0.5
2022-01-02,P005,WH002,South,S003,186,2416,8,1152,1,1,1,18.64,54.64,0.5
2022-01-02,P005,WH003,East,S003,254,3382,3,648,1,1,1,17.41,48.17,0.5
2022-01-02,P006,WH001,North,S003,153,1515,7,756,1,1,1,33.59,50.7,0.7
2022-01-02,P006,WH002,South,S003,114,1371,4,345,1,1,1,35.69,52.41,0.7
2022-01-02,P006,WH003,East,S003,150,1307,9,1166,1,1,1,36.09,53.09,0.7
2022-01-02,P007,WH001,North,S004,301,3254,14,3024,1,1,1,22.44,51.5,0.5
2022-01-02,P007,WH002,South,S004,233,1810,7,1209,1,1,1,21.11,48.76,0.5
2022-01-02,P007,WH003,East,S004,320,3054,7,1814,1,1,1,21.53,50.43,0.5
2022-01-02,P008,WH001,North,S004,67,405,7,378,1,1,1,93.67,53.23,1.9
2022-01-02,P008,WH002,South,S004,57,639,4,172,1,1,1,96.17,47.16,1.9
2022-01-02,P008,WH003,East,S004,109,866,10,648,1,1,1,99.52,52.26,1.9
2022-01-02,P009,WH001,North,S005,131,2000,7,924,1,1,1,27.83,47.71,0.56
2022-01-02,P009,WH002,South,S005,125,937,10,1056,1,1,1,27.3,46.56,0.56
2022-01-02,P009,WH003,East,S005,252,2158,7,1108,1,1,1,29.27,47.8,0.56
2022-01-02,P010,WH001,North,S005,123,1188,10,900,1,1,1,53.61,49.2,1.1
2022-01-02,P010,WH002,South,S005,108,517,5,360,1,1,1,52.5,46.16,1.1
2022-01-02,P010,WH003,East,S005,137,874,10,1080,1,1,1,54.85,49.92,1.1
2022-01-03,P001,WH001,North,S001,96,1938,4,576,0,1,0,23.86,51.35,0.5
2022-01-03,P001,WH002,South,S001,118,1408,4,460,0,1,0,25.4,53.56,0.5
2022-01-03,P001,WH003,East,S001,148,2263,7,1209,0,1,0,25.19,54.4,0.5
2022-01-03,P002,WH001,North,S001,100,1129,4,384,0,1,0,46.99,50.46,0.9
2022-01-03,P002,WH002,South,S001,71,1250,6,460,0,1,0,43.06,46.96,0.9
2022-01-03,P002,WH003,East,S001,104,914,5,576,0,1,0,46.55,48.19,0.9
2022-01-03,P003,WH001,North,S002,195,3413,6,1440,0,1,0,12.45,51.29,0.5
2022-01-03,P003,WH002,South,S002,185,1926,8,1536,0,1,0,12.3,46.77,0.5
2022-01-03,P003,WH003,East,S002,199,4336,4,1152,0,1,0,12.52,48.41,0.5
2022-01-03,P004,WH001,North,S002,61,1062,9,648,0,1,0,76.82,52.55,1.6
2022-01-03,P004,WH002,South,S002,50,893,8,460,0,1,0,83.16,48.2,1.6
2022-01-03,P004,WH003,East,S002,79,1445,6,518,0,1,0,81.05,50.73,1.6
